日付,都道府県名,（１）療養者数（注１）,（２）①-1入院者数,（２）①-2うち、確保病床に入院している者数,（２）①-3うち、確保病床に位置付けられた臨時の医療施設･入院待機施設に入院している者数,病床数現フェーズ／最終フェーズ（注２）,即応病床数(注３),確保病床数（注４）,うち、確保病床に位置付けられた臨時の医療施設・入院待機施設の病床数,確保病床使用率（注５）,入院率（注６）,（２）②-1うち重症者数,（２）②-2うち、確保病床に入院している重症者数,（２）②-３うち、確保病床に位置付けられた臨時の医療施設･入院待機施設に入院している重症者数,うち重症者用病床数現フェーズ／最終フェーズ（注２）,即応病床数(注３),確保病床数（注４）,うち、確保病床に位置付けられた臨時の医療施設・入院待機施設の病床数,確保病床使用率（注５）,（３）①ｰ1宿泊療養者数,（３）①ｰ2うち、確保居室に位置付けられた臨時の医療施設･入院待機施設に宿泊している者数,居室数現フェーズ／最終フェーズ（注２）,即応居室数(注7),確保居室数（注8）,うち、確保居室に位置付けられた臨時の医療施設･入院待機施設の居室数,確保居室使用率（注9）,（４）臨時の医療施設･入院待機施設療養者数（再掲含む）（注10）,定員数現フェーズ／最終フェーズ（注２､11）,即応定員数（注12）,確保定員数（注13）,確保定員使用率（注14）,（５）①-1自宅療養者等数（注15）,（５）①-2うち、社会福祉施設等療養者数,（６）①-1療養先調整中の人数（注16）,（６）①-2うち、入院先調整中の人数(注17）
2022-09-28, 徳島県,1768,53,53,0,４／５,254,286,22,19,3,1,1,0,４／５,25,25,0,4,35,0,５／５,580,580,0,6,0,４／５,0,22,0,1680,0,0,0
2022-09-28, 香川県,2747,108,52,0,３／３,271,271,0,19,4,3,3,0,３／３,30,30,0,10,37,0,２／２,474,474,0,8,0,３／３,0,0,－,2438,65,164,0
2022-09-28, 愛媛県 ,3323,106,68,0,Ⅰ／Ⅰ,469,479,10,14,3,1,1,0,Ⅰ／Ⅰ,26,26,0,4,25,0,３／３,263,263,67,10,0,Ⅰ／Ⅰ,67,77,0,3192,50,0,0
2022-09-28, 高知県 ,1935,91,75,0,５／５,396,396,0,19,5,3,3,0,５／５,24,24,0,13,14,5,５／５,206,206,16,7,5,５／５,16,16,31,1830,60,0,0
2022-09-28, 福岡県,13211,1097,443,0,４／５,1327,2024,0,22,8,6,6,0,４／５,195,217,0,3,138,0,４／４,2432,2432,19,6,0,１／２,19,222,0,11976,0,0,0
2022-09-28, 佐賀県 ,2445,119,83,0,２／５,321,590,50,14,5,2,2,0,１／５,5,48,0,4,34,0,１／４,490,490,0,7,0,２／５,50,50,0,2292,61,0,0
2022-09-28, 長崎県,3868,245,143,0,Ⅱ／Ⅱ,648,721,0,20,6,3,3,0,Ⅱ／Ⅱ,40,40,0,8,57,0,Ⅱ／Ⅱ,900,920,20,6,0,Ⅱ／Ⅱ,20,20,0,3566,173,0,0
2022-09-28, 熊本県,5294,237,201,0,２／２,820,820,0,25,4,6,6,0,２／２,53,53,0,11,139,0,２／２,1226,1226,0,11,0,－,0,0,－,4912,0,6,6
2022-09-28, 大分県,2725,124,124,0,３／４,478,550,0,23,5,1,1,0,３／４,42,43,0,2,46,10,３／４,1370,1460,254,3,10,３／４,175,254,4,2555,23,0,0
2022-09-28, 宮崎県,3478,209,85,0,２／２,359,359,0,24,6,3,3,0,２／２,15,15,0,20,34,0,３／３,500,500,0,7,0,３／３,0,0,－,3235,53,0,0
2022-09-28, 鹿児島県 ,4229,263,184,0,Ⅰ／Ⅱ,723,723,0,25,6,1,1,0,Ⅰ／Ⅱ,37,37,0,3,271,0,Ⅰ／Ⅱ,1823,1823,47,15,0,１／４,2,59,0,3616,0,79,0
2022-09-28, 沖縄県,3819,161,161,0,５／５,703,703,25,23,4,5,5,0,５／５,48,48,0,10,152,1,５／５,1255,1255,75,12,1,５／５,100,100,1,3506,127,0,0
2022-09-28,合計,368736,13888,10935,166,,42218,47538,1647,,,700,700,0,,4630,5532,0,,6166,131,,62830,68986,1890,,356,,4187,5091,,332725,2632,15898,71
